"Card Name","Card Description","Labels","Members","Due Date","List Name"
"📝 NEW #51: rak penyimpanan makanan","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 39

📌 INFORMASI DASAR
Keyword Utama     : rak penyimpanan makanan
Search Volume     : 390/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/rak-penyimpanan-makanan
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rak penyimpanan makanan""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rak penyimpanan makanan""
SEARCH VOLUME: 390/bulan
URL TARGET: https://www.sesoris.com/blog/rak-penyimpanan-makanan

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-11","Inbox"
"📝 NEW #52: rak bumbu dapur","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 39

📌 INFORMASI DASAR
Keyword Utama     : rak bumbu dapur
Search Volume     : 390/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/rak-bumbu-dapur
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rak bumbu dapur""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rak bumbu dapur""
SEARCH VOLUME: 390/bulan
URL TARGET: https://www.sesoris.com/blog/rak-bumbu-dapur

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-12","Inbox"
"📝 NEW #53: wadah makanan stainless","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 39

📌 INFORMASI DASAR
Keyword Utama     : wadah makanan stainless
Search Volume     : 390/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/wadah-makanan-stainless
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""wadah makanan stainless""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""wadah makanan stainless""
SEARCH VOLUME: 390/bulan
URL TARGET: https://www.sesoris.com/blog/wadah-makanan-stainless

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-13","Inbox"
"📝 NEW #54: sustainable living","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 36

📌 INFORMASI DASAR
Keyword Utama     : sustainable living
Search Volume     : 390/bulan
Keyword Difficulty: 1/100
URL Target        : https://www.sesoris.com/blog/sustainable-living
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""sustainable living""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""sustainable living""
SEARCH VOLUME: 390/bulan
URL TARGET: https://www.sesoris.com/blog/sustainable-living

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-15","Inbox"
"📝 NEW #55: living sustainable life","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 33

📌 INFORMASI DASAR
Keyword Utama     : living sustainable life
Search Volume     : 480/bulan
Keyword Difficulty: 5/100
URL Target        : https://www.sesoris.com/blog/living-sustainable-life
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""living sustainable life""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""living sustainable life""
SEARCH VOLUME: 480/bulan
URL TARGET: https://www.sesoris.com/blog/living-sustainable-life

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-16","Inbox"
"📝 NEW #56: rak piring dapur","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 32

📌 INFORMASI DASAR
Keyword Utama     : rak piring dapur
Search Volume     : 320/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/rak-piring-dapur
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rak piring dapur""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rak piring dapur""
SEARCH VOLUME: 320/bulan
URL TARGET: https://www.sesoris.com/blog/rak-piring-dapur

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-18","Inbox"
"📝 NEW #57: tempat penyimpanan makanan","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 32

📌 INFORMASI DASAR
Keyword Utama     : tempat penyimpanan makanan
Search Volume     : 320/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/tempat-penyimpanan-makanan
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""tempat penyimpanan makanan""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""tempat penyimpanan makanan""
SEARCH VOLUME: 320/bulan
URL TARGET: https://www.sesoris.com/blog/tempat-penyimpanan-makanan

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-19","Inbox"
"📝 NEW #58: sustainable living tips","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 31

📌 INFORMASI DASAR
Keyword Utama     : sustainable living tips
Search Volume     : 880/bulan
Keyword Difficulty: 19/100
URL Target        : https://www.sesoris.com/blog/sustainable-living-tips
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: step-by-step, tips praktis

🔑 KEYWORD STRATEGY
PRIMARY: ""sustainable living tips""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""sustainable living tips""
SEARCH VOLUME: 880/bulan
URL TARGET: https://www.sesoris.com/blog/sustainable-living-tips

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-20","Inbox"
"📝 NEW #59: kotak kayu penyimpanan","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 29

📌 INFORMASI DASAR
Keyword Utama     : kotak kayu penyimpanan
Search Volume     : 320/bulan
Keyword Difficulty: 1/100
URL Target        : https://www.sesoris.com/blog/kotak-kayu-penyimpanan
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""kotak kayu penyimpanan""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""kotak kayu penyimpanan""
SEARCH VOLUME: 320/bulan
URL TARGET: https://www.sesoris.com/blog/kotak-kayu-penyimpanan

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-21","Inbox"
"📝 NEW #60: rak gantung dapur","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 26

📌 INFORMASI DASAR
Keyword Utama     : rak gantung dapur
Search Volume     : 260/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/rak-gantung-dapur
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rak gantung dapur""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rak gantung dapur""
SEARCH VOLUME: 260/bulan
URL TARGET: https://www.sesoris.com/blog/rak-gantung-dapur

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-22","Inbox"
"📝 NEW #61: tas organizer","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 26

📌 INFORMASI DASAR
Keyword Utama     : tas organizer
Search Volume     : 260/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/tas-organizer
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""tas organizer""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""tas organizer""
SEARCH VOLUME: 260/bulan
URL TARGET: https://www.sesoris.com/blog/tas-organizer

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-23","Inbox"
"📝 NEW #62: tempat penyimpanan sepatu","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 26

📌 INFORMASI DASAR
Keyword Utama     : tempat penyimpanan sepatu
Search Volume     : 260/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/tempat-penyimpanan-sepatu
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""tempat penyimpanan sepatu""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""tempat penyimpanan sepatu""
SEARCH VOLUME: 260/bulan
URL TARGET: https://www.sesoris.com/blog/tempat-penyimpanan-sepatu

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-25","Inbox"
"📝 NEW #63: keranjang penyimpanan","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 26

📌 INFORMASI DASAR
Keyword Utama     : keranjang penyimpanan
Search Volume     : 260/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/keranjang-penyimpanan
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""keranjang penyimpanan""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""keranjang penyimpanan""
SEARCH VOLUME: 260/bulan
URL TARGET: https://www.sesoris.com/blog/keranjang-penyimpanan

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-05-26","Inbox"
